Date,Dish Name,Category,Dietary Type,Cost (?),Price (?),Quantity Sold,Shift,Day of Week,Total Revenue (?)
01/03/2025,Beef Tartare with Truffle Mayo and Potato Crisps,Starter,Standard,4.8,14.5,8,Dinner,Saturday,116
01/03/2025,"Cherry Mushrooms with Asparagus, Romesco Sauce and Poached Eggs",Starter,Vegetarian,3.7,11,12,Dinner,Saturday,132
01/03/2025,"Mushroom Risotto with White Truffle, Artichoke Crisps and Watercress",Main,Vegetarian,6.2,18,15,Lunch,Saturday,270
01/03/2025,"Coppa Iberico Pork with Creamy Polenta, Chorizo, Smoked Cabbage and Parmesan Crisp",Main,Standard,7.8,21,10,Dinner,Saturday,210
01/03/2025,Vegan Chocolate Parfait with Berry Compote and Fresh Berries,Dessert,Vegan,2.9,8.5,11,Dinner,Saturday,93.5
01/03/2025,Poached Pear with Vanilla Ice Cream and Almond Tuile,Dessert,Vegetarian,3.5,9,15,Dinner,Saturday,135
02/03/2025,Beef Tartare with Truffle Mayo and Potato Crisps,Starter,Standard,4.8,14.5,8,Dinner,Sunday,116
02/03/2025,"Cherry Mushrooms with Asparagus, Romesco Sauce and Poached Eggs",Starter,Vegetarian,3.7,11,14,Lunch,Sunday,154
02/03/2025,"Mushroom Risotto with White Truffle, Artichoke Crisps and Watercress",Main,Vegetarian,6.2,18,7,Dinner,Sunday,126
02/03/2025,"Coppa Iberico Pork with Creamy Polenta, Chorizo, Smoked Cabbage and Parmesan Crisp",Main,Standard,7.8,21,8,Lunch,Sunday,168
02/03/2025,Vegan Chocolate Parfait with Berry Compote and Fresh Berries,Dessert,Vegan,2.9,8.5,10,Lunch,Sunday,85
02/03/2025,Poached Pear with Vanilla Ice Cream and Almond Tuile,Dessert,Vegetarian,3.5,9,15,Dinner,Sunday,135
03/03/2025,Beef Tartare with Truffle Mayo and Potato Crisps,Starter,Standard,4.8,14.5,10,Lunch,Monday,145
03/03/2025,"Cherry Mushrooms with Asparagus, Romesco Sauce and Poached Eggs",Starter,Vegetarian,3.7,11,5,Dinner,Monday,55
03/03/2025,"Mushroom Risotto with White Truffle, Artichoke Crisps and Watercress",Main,Vegetarian,6.2,18,13,Lunch,Monday,234
03/03/2025,"Coppa Iberico Pork with Creamy Polenta, Chorizo, Smoked Cabbage and Parmesan Crisp",Main,Standard,7.8,21,9,Dinner,Monday,189
03/03/2025,Vegan Chocolate Parfait with Berry Compote and Fresh Berries,Dessert,Vegan,2.9,8.5,12,Lunch,Monday,102
03/03/2025,Poached Pear with Vanilla Ice Cream and Almond Tuile,Dessert,Vegetarian,3.5,9,11,Lunch,Monday,99
04/03/2025,Beef Tartare with Truffle Mayo and Potato Crisps,Starter,Standard,4.8,14.5,5,Dinner,Tuesday,72.5
04/03/2025,"Cherry Mushrooms with Asparagus, Romesco Sauce and Poached Eggs",Starter,Vegetarian,3.7,11,11,Lunch,Tuesday,121
04/03/2025,"Mushroom Risotto with White Truffle, Artichoke Crisps and Watercress",Main,Vegetarian,6.2,18,16,Lunch,Tuesday,288
04/03/2025,"Coppa Iberico Pork with Creamy Polenta, Chorizo, Smoked Cabbage and Parmesan Crisp",Main,Standard,7.8,21,8,Lunch,Tuesday,168
04/03/2025,Vegan Chocolate Parfait with Berry Compote and Fresh Berries,Dessert,Vegan,2.9,8.5,10,Dinner,Tuesday,85
04/03/2025,Poached Pear with Vanilla Ice Cream and Almond Tuile,Dessert,Vegetarian,3.5,9,12,Lunch,Tuesday,108
05/03/2025,Beef Tartare with Truffle Mayo and Potato Crisps,Starter,Standard,4.8,14.5,11,Dinner,Wednesday,159.5
05/03/2025,"Cherry Mushrooms with Asparagus, Romesco Sauce and Poached Eggs",Starter,Vegetarian,3.7,11,8,Lunch,Wednesday,88
05/03/2025,"Mushroom Risotto with White Truffle, Artichoke Crisps and Watercress",Main,Vegetarian,6.2,18,11,Lunch,Wednesday,198
